edge_id,road_id,from_node,to_node,normal_minutes,disrupted_minutes,road_disruption_probability_0_1,candidate_closure_status,subdistrict_id,bridge_flag
MS-EDGE-0016694,546930309,N-99.9004229-20.3808190,N-99.9004005-20.3804869,0.088804,0.127877,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016695,546930309,N-99.9004005-20.3804869,N-99.9003466-20.3796970,0.21123,0.304171,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016696,546930309,N-99.9003466-20.3796970,N-99.9003107-20.3793470,0.093835,0.135122,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016697,546930309,N-99.9003107-20.3793470,N-99.9002703-20.3790373,0.083265,0.119901,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016698,546930309,N-99.9002703-20.3790373,N-99.9002300-20.3787142,0.086812,0.12501,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016699,546930309,N-99.9002300-20.3787142,N-99.9001941-20.3783910,0.086718,0.124874,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016700,546930309,N-99.9001941-20.3783910,N-99.9001582-20.3780679,0.086691,0.124836,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016701,546930309,N-99.9001582-20.3780679,N-99.9000998-20.3776102,0.123016,0.177143,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016702,546930310,N-99.9076712-20.3511528,N-99.9079814-20.3515244,0.12593,0.181339,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016703,546930311,N-99.9079814-20.3515244,N-99.9081152-20.3516480,0.046998,0.067677,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016704,546930311,N-99.9081152-20.3516480,N-99.9082194-20.3517212,0.032578,0.046913,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016705,546930311,N-99.9082194-20.3517212,N-99.9082806-20.3517213,0.015313,0.02205,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016706,546930311,N-99.9082806-20.3517213,N-99.9082937-20.3517150,0.003684,0.005305,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016707,546930311,N-99.9082937-20.3517150,N-99.9083156-20.3517046,0.006142,0.008845,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016708,546930311,N-99.9083156-20.3517046,N-99.9085986-20.3514916,0.090802,0.130755,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016709,546930311,N-99.9085986-20.3514916,N-99.9087164-20.3514807,0.029618,0.04265,0.11,candidate_open_with_delay,TH570904,False
